id, coordinates..., calculationCount, type, class, |N_eps|, N_eps...
19528, 0.259145, 0.323932, 0.194359, 0.485898, 0.161966, 0.129573, 0.291539, 0.0971795, 0.0323932, 0.291539, 0.323932, 0.161966, 0.129573, 0.323932, 0.226752, 0.161966, 0, -1, -1, 1, 19528
8105, 0.219826, 0.345441, 0.157019, 0.471056, 0.125615, 0.25123, 0.25123, 0.0942111, 0.0942111, 0.408248, 0.125615, 0.157019, 0.0942111, 0.25123, 0.219826, 0.314037, 3, -1, -1, 1, 8105
4026, 0.168073, 0.336146, 0.100844, 0.470605, 0.134459, 0.336146, 0.235302, 0.0672293, 0.134459, 0.336146, 0.168073, 0.201688, 0.100844, 0.268917, 0.201688, 0.336146, 3, -1, -1, 1, 4026
2548, 0.244225, 0.335809, 0.183169, 0.457922, 0.152641, 0.122113, 0.335809, 0.0610563, 0.122113, 0.335809, 0.305281, 0.183169, 0.122113, 0.305281, 0.183169, 0.183169, 8, -1, -1, 1, 2548
17018, 0.26107, 0.326338, 0.163169, 0.456873, 0.130535, 0.228436, 0.26107, 0.0979013, 0.130535, 0.358971, 0.195803, 0.163169, 0.0979013, 0.26107, 0.26107, 0.293704, 8, -1, -1, 1, 17018
15136, 0.22441, 0.320585, 0.128234, 0.448819, 0.128234, 0.22441, 0.288527, 0.0961756, 0.128234, 0.416761, 0.160293, 0.160293, 0.0961756, 0.256468, 0.22441, 0.320585, 11, -1, -1, 1, 15136
11024, 0.254901, 0.318626, 0.191176, 0.446077, 0.159313, 0.286764, 0.254901, 0.127451, 0.0955879, 0.159313, 0.350489, 0.159313, 0.159313, 0.318626, 0.223039, 0.223039, 13, -1, -1, 1, 11024
4405, 0.239957, 0.308516, 0.205677, 0.445634, 0.171398, 0.171398, 0.239957, 0.171398, 0.102839, 0.239957, 0.377075, 0.205677, 0.137118, 0.342796, 0.171398, 0.205677, 14, -1, -1, 1, 4405
8279, 0.286328, 0.318142, 0.2227, 0.445399, 0.190885, 0.190885, 0.190885, 0.190885, 0.127257, 0.190885, 0.381771, 0.190885, 0.159071, 0.318142, 0.190885, 0.159071, 14, -1, -1, 1, 8279
1430, 0.266207, 0.325364, 0.177471, 0.443678, 0.177471, 0.147893, 0.325364, 0.0887357, 0.0887357, 0.354943, 0.236628, 0.177471, 0.0887357, 0.266207, 0.325364, 0.147893, 15, -1, -1, 1, 1430
13901, 0.203888, 0.305832, 0.135926, 0.441758, 0.135926, 0.23787, 0.305832, 0.101944, 0.101944, 0.441758, 0.135926, 0.169907, 0.101944, 0.271851, 0.203888, 0.305832, 16, -1, -1, 1, 13901
